table_name,column_name,lngdsc,comtyp,length,null_flg,pk_flg,ident_flg,column_comment
dlytrn,load_attr5_flg,Load Attribute 5,I,4,False,False,False,The fifth load attribute. A load attribute is a configurable flag field to indicate attributes of a load such as the load being wrapped.
dlytrn,var_nam,Variable Name,S,200,True,False,False,Variable Name - Name of the attribute that was changed.
dlytrn,fr_value,From Value,S,200,True,False,False,From value - Original value of the attribute.
dlytrn,to_value,To Value,S,200,True,False,False,To value - Changed value of the attribute.
dlytrn,wh_id,Warehouse ID,S,32,True,False,False,Warehouse ID - the warehouse in which the building exists.
dlytrn,uomcod,Unit Of Measure,S,2,True,False,False,Unit of measure used in the activity.
dlytrn,ftpcod,Footprint Code,S,30,True,False,False,Footprint code used in the activity.
dlytrn,distro_excp_id,Distribution Exception ID,S,35,True,False,False,Unique Id to identify the distribution exception.
dlytrn,excp_code,Exception,S,200,True,False,False,Exception Code for this distribution exception.
dlytrn,expqty,Expected Quantity,I,4,True,False,False,The quantity expected to be distributed.
dlytrn,rptqty,Reported Quantity,I,4,True,False,False,The quantity actually distributed.
dlytrn,u_version,Version,I,4,True,False,False,The version number
dlytrn,ins_dt,Inserted Date,D,14,True,False,False,The date the row was inserted
dlytrn,last_upd_dt,Last Updated Date,D,14,True,False,False,The date the row was last updated
dlytrn,ins_user_id,Inserted User,S,40,True,False,False,The user id of the person who created the row
dlytrn,last_upd_user_id,Last Updated User,S,40,True,False,False,The user id of the person who updated the row most recently
dlytrn,to_trct_num,,S,20,True,False,False,The final tractor number of the tractor affected by this transaction
dlytrn,to_trlr_num,To Transport Equipment Number,S,20,True,False,False,The final trailer number of the trailer affected by this transaction
dlytrn,to_carcod,To Carrier,S,10,True,False,False,The final carrier of the trailer affected by this transaction
dlytrn,srvlvl,Service Level,S,10,True,False,False,Service level of the record
dlytrn,to_srvlvl,To Service Level,S,10,True,False,False,The final srvlvl of the shipment/carrier move affected by this transaction
dlytrn,rowid,Row ID,I,4,False,False,True,
inv_snap,inv_snap_id,Inventory Snapshot ID,S,10,False,True,False,Inventory Snap ID - PK value for this table.
inv_snap,prtnum,Item Number,S,50,False,False,False,Item Number
inv_snap,prt_client_id,Item Client ID,S,32,False,False,False,Item Client ID
inv_snap,gendte,Generation Date,D,14,False,False,False,Generation Date: Date and time the inventory snapshot was generated.
inv_snap,rcvqty,Receive Quantity,I,4,False,False,False,Received Quantity: Number of units received between the last time a snapshot was generated and the Generation Date.
inv_snap,shpqty,Shipped Quantity,I,4,False,False,False,Shipped Quantity: Number of units shipped between the last time a snapshot was generated and the Generation Date.
inv_snap,adjqty,Adjusted Quantity,I,4,False,False,False,"No of units adjusted between the last time a snapshot was generated and Generation Date. An adjustment includes adding, modifying or deleting inventory through invadjopr and cntaudopr, as well as inventory moved to WIP supply areas."
inv_snap,wko_cnsqty,Work Order Consumed Quantity,I,4,False,False,False,Work Order Consumed Quantity: Number of units delivered to a work order processing location between the last time a snapshot was generated and the Generation Date.
inv_snap,wko_rcvqty,Work Order Received Quantity,I,4,False,False,False,Number of units received through a WO between the last time a snapshot was generated and Generation Date. This includes inventory received from a WO either through production of a top level item or the return to stock of components.
inv_snap,on_hand_qty,On-Hand Qty,I,4,False,False,False,The results here will be dictated by a policy. It will either be: the qty of this item number/item client id within four-wall locations or  specified inventory status progression and is within four-wall locations.
inv_snap,shippable_qty,Shippable Qty,I,4,False,False,False,Shippable Quantity: A subset of the On-Hand Inventory Quantity that only includes on-hand inventory with an inventory status that is shippable.
inv_snap,ordered_qty,Ordered Qty,I,4,False,False,False,Ordered Quantity: The quantity of the item required for outstanding order lines.
inv_snap,planned_qty,Planned Quantity,I,4,False,False,False,Shipment Planned Quantity: The quantity of the item number/item client id that has already been assigned to a shipment that is not closed or cancelled.
inv_snap,wko_ordered_qty,Work Order Ordered Qty,I,4,False,False,False,
inv_snap,pnd_rcvqty,Pending Receipt Qty,I,4,False,False,False,"The total qty of this item number/item client id that is expected, but has not yet been putaway and received into inventory. The results here will be dictated by a policy"
inv_snap,wh_id,Warehouse ID,S,32,False,False,False,Warehouse ID
inv_snap,snap_gen_num,Snapshot Generation Number,S,10,True,False,False,Maps to snap_gen_num on the Inventory Activity table. This indicates that all rows in the Inventory Activity table with a snap_gen_num that matches this value were included in the rcvqty and shpqty sum totals for this snapshot.
inv_snap,moddte,Date Last Modified,D,14,True,False,False,Last date this inventory snapshot was modified.
inv_snap,mod_usr_id,Modified by,S,40,True,False,False,Last user to modify this inventory snapshot.
inv_snap,u_version,Version,I,4,True,False,False,The version number
inv_snap,ins_dt,Inserted Date,D,14,True,False,False,The date the row was inserted
inv_snap,last_upd_dt,Last Updated Date,D,14,True,False,False,The date the row was last updated
inv_snap,ins_user_id,Inserted User,S,40,True,False,False,The user id of the person who created the row
inv_snap,last_upd_user_id,Last Updated User,S,40,True,False,False,The user id of the person who updated the row most recently
inv_snap,rowid,Row ID,I,4,False,False,True,
invdtl,dtlnum,Detail LPN,S,30,False,True,False,
invdtl,subnum,Sub-LPN,S,30,False,False,False,Identifies which inventory sub (invsub) record this detail is attached to.
invdtl,phdflg,Physical Piece,I,4,True,False,False,"This flag is set to 1 in the event that this invdtl maps to a physical piece.  In that case, the dtlnum represents the labeled piece."
invdtl,prtnum,Item Number,S,50,False,False,False,Item number of the inventory tracked by this detail.
invdtl,prt_client_id,Item Client ID,S,32,False,False,False,Client ownership for item number.
invdtl,orgcod,Origin Code,S,25,False,False,False,"Origin Code of the inventory tracked by this detail. If this item is not origin code tracked, then this field will take on a default value of '----'."
invdtl,revlvl,Revision Level,S,25,False,False,False,"Revision level of the inventory tracked by this detail.  If this item is not revision level tracked, then this field will take on a default value of '----'."
invdtl,lotnum,Lot Number,S,25,False,False,False,"Lot number of the inventory tracked by this detail.  If this item is not lot number tracked, then this field will take on a default value of '----'."
invdtl,sup_lotnum,Supplier Lot Number,S,25,True,False,False,Lot number supplied by the supplier for tracking purposes.
invdtl,invsts,Inventory Status,S,4,False,False,False,Inventory status of the inventory tracked by this detail.
invdtl,supnum,Supplier Number,S,32,True,False,False,Supplier Number of the Inventory tracked by this detail.
invdtl,cnsg_flg,Consigned,I,4,True,False,False,"Consigned Flag: The status indicates ownership of the inventory (1=ownership is with the supplier, 0=ownership is not with supplier)"
invdtl,age_pflnam,Aging Profile Name,S,30,True,False,False,Aging profile for this inventory.  This only applies to items that are date controlled.
invdtl,fifdte,FIFO Date,D,14,False,False,False,The date to be used for FIFO calculations with this inventory.
invdtl,mandte,Manufactured Date,D,14,True,False,False,The date this product was manufactured.  It is calculated by calling the command 'get manufacturing date'.
invdtl,expire_dte,Expiration Date,D,14,True,False,False,The date this product will expire.  This is only used for date controlled product and is calculated based on the product's aging profile.
invdtl,untqty,Unit Quantity,I,4,False,False,False,The amount of inventory (in stock keeping units) this detail tracks.
invdtl,untcas,Units Per Case,I,4,False,False,False,The number of units in a case of the inventory tracked by this detail.
invdtl,untpak,Units Per Pack,I,4,False,False,False,The number of units in an inner pack carton of the inventory tracked by this detail.
invdtl,ftpcod,Footprint Code,S,30,True,False,False,The footprint code of the inventory tracked by this invdtl.
invdtl,rcvkey,Receive Key,S,15,True,False,False,"If this detail was received, then the receive key will be filled in indicating which rcvlin this detail was received against."
invdtl,ship_line_id,Shipment Line ID,S,10,True,False,False,"If this detail was picked for a shipment, then the ship_line_id field will be filled in mapping it to the particular shipment line which this detail satisfied."
invdtl,wrkref,Work Task,S,12,True,False,False,"If this detail was picked for a shipment or a work order, the wrkref field will be filled in which provides a mapping into the pckwrk_hdr/pckwrk_dtl tables for the pick which this detail satisfied."
invdtl,wrkref_dtl,Work Task Detail,S,15,True,False,False,Pick Work Detail ID - The unique identifier of the pick work detail record.
invdtl,adddte,Date Added,D,14,True,False,False,The date this detail was added to the system.
invdtl,rcvdte,Received Date,D,14,True,False,False,This indicates the date and time that the detail was received.
invdtl,lstmov,Last Move Date,D,14,True,False,False,Last date/time detail was moved.
invdtl,lstdte,Last Activity Date/Time,D,14,True,False,False,Last date/time activity occurred for this detail.
invdtl,lstcod,Last Activity Code,S,20,True,False,False,Last activity code on this detail.
invdtl,lst_usr_id,Last User,S,40,True,False,False,Last user which performed an activity on this detail.
invdtl,cmpkey,Component Key,S,20,True,False,False,"If this detail was produced as a result of production, this field will be filled in to provide a mapping in to the cmphdr table which will indicate which work order this detail was produced against."
invdtl,alcflg,Allow Allocation,I,4,True,False,False,Allow Allocation Flag.  Is this detail allowed for use in allocation?
