description_code,function_name,l1_category_name,payload_format,has_geo,is_system_event,event_type,log_level,platforms
11010500,Filter By Category: Catalog,Filtering & Sorting,bare_value,false,false,,INFO,"CatalogFS,CatalogFC"
11020100,Filter By Country: New & Promo,Filtering & Sorting,bare_value,false,false,,INFO,"PDA"
11020200,Filter By Country: Recommend,Filtering & Sorting,bare_value,false,false,,INFO,"PDA,CatalogFS,Vegas,CatalogFC"
11050100,Filter By Status: Order List Customer,Filtering & Sorting,bare_value,false,false,,INFO,"PDA,CatalogFS"
11050200,Filter By Status: Order List Sales,Filtering & Sorting,bare_value,false,false,,INFO,"PDA,CatalogFS"
11050400,Filter By Status: Order List (Vegas/FC),Filtering & Sorting,bare_value,false,false,,INFO,"Vegas,CatalogFC"
11060100,Filter By Customer: Order List Customer,Filtering & Sorting,bare_value,false,false,,INFO,"PDA,CatalogFS"
11070100,Filter By Date: Order List Customer,Filtering & Sorting,bare_value,false,false,,INFO,"PDA,CatalogFS"
11090300,Reset Filter: Recommend,Filtering & Sorting,none,false,false,,INFO,"PDA,CatalogFS,Vegas,CatalogFC"
11120100,Sort: Order List Customer,Filtering & Sorting,bare_value,false,false,,INFO,"PDA,CatalogFS"
11121300,Sort: Recommended,Filtering & Sorting,bare_value,false,false,,INFO,"CatalogFS,Vegas,CatalogFC"
11121500,Sort: Cart,Filtering & Sorting,bare_value,false,false,,INFO,"Vegas"
12010100,Search: Order List Customer,Search,bare_value,false,false,,INFO,"PDA,CatalogFS"
12010200,Search: Order List Sales,Search,bare_value,false,false,,INFO,"PDA,CatalogFS"
12010800,Search: Recommend,Search,bare_value,false,false,,INFO,"PDA,CatalogFS,Vegas,CatalogFC"
12011100,Search: Order Detail,Search,bare_value,false,false,,INFO,"CatalogFS,CatalogFC"
12011200,Search: Home Bar,Search,bare_value,false,false,,INFO,"CatalogFS,Vegas,CatalogFC,Web"
12011300,Search: Search Page,Search,bare_value,false,false,,INFO,"Vegas"
12011600,Search: Back Order,Search,bare_value,false,false,,INFO,"Vegas"
12011700,Search: Cart,Search,bare_value,false,false,,INFO,"Vegas"
13010100,Invoice - Success,Send Email / Fax,bare_value,false,true,System Event,INFO,"PDA,Vegas"
13010200,Invoice - Fail,Send Email / Fax,bare_value,false,true,System Event,WARN,"PDA,Vegas"
13020100,Statement/Balance - Success,Send Email / Fax,bare_value,false,true,System Event,INFO,"PDA,CatalogFS,Vegas,CatalogFC"
13020200,Statement/Balance - Fail,Send Email / Fax,bare_value,false,true,System Event,WARN,"PDA,CatalogFS,Vegas,CatalogFC"
14010000,Item Detail: New & Promo,Item Detail Navigation,sku,false,false,EVENT,EVENT,"PDA,Web"
14020000,Item Detail: Recommend,Item Detail Navigation,sku,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
14030000,Item Detail: Purchase History,Item Detail Navigation,sku,false,false,EVENT,EVENT,"PDA,CatalogFS,Vegas,CatalogFC,Web"
14040000,Item Detail: Review,Item Detail Navigation,sku,false,false,EVENT,EVENT,"PDA"
14050000,Item Detail: Line Item,Item Detail Navigation,sku,false,false,EVENT,EVENT,"PDA"
14080000,Item Detail: Order Detail,Item Detail Navigation,sku,false,false,EVENT,EVENT,"CatalogFS,CatalogFC"
14090000,Item Detail: My Lists,Item Detail Navigation,sku,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
14100000,Item Detail: Back Order,Item Detail Navigation,sku,false,false,EVENT,EVENT,"Vegas,Web"
14110000,Item Detail: Cart,Item Detail Navigation,sku,false,false,EVENT,EVENT,"Vegas,Web"
14140000,Item Detail: Catalog,Item Detail Navigation,sku,false,false,EVENT,EVENT,"CatalogFS,CatalogFC"
14150000,Item Detail: Recommend by Service,Item Detail Navigation,sku,false,false,EVENT,EVENT,"CatalogFS,Vegas,CatalogFC,Web"
15010000,Item Enlarge: Product Detail,Item Image Enlarge,sku,false,false,,INFO,"PDA,CatalogFS,Vegas,CatalogFC,Web"
15020000,Item Enlarge: Catalog,Item Image Enlarge,sku,false,false,,INFO,"CatalogFS,CatalogFC"
16010000,Settings: Location,Settings & Account,none,false,false,,INFO,"PDA"
